Stationsname,county,Statiosname_long,lat,long,date,wbi,type
Kirchberg-Herboldshausen/Jagst,Baden-Württemberg,"Kirchberg-Herboldshausen/Jagst, Baden-Württemberg",49.17791,9.976557,2022-07-15,4,predicted
Eppingen-Elsenz,Baden-Württemberg,"Eppingen-Elsenz, Baden-Württemberg",49.175512,8.831732,2022-07-15,3,predicted
Obersulm-Willsbach,Baden-Württemberg,"Obersulm-Willsbach, Baden-Württemberg",49.1346278,9.3570644,2022-07-15,3,predicted
Großerlach-Mannenweiler,Baden-Württemberg,"Großerlach-Mannenweiler, Baden-Württemberg",49.0216948,9.6020549,2022-07-15,4,predicted
Ellwangen-Rindelbach,Baden-Württemberg,"Ellwangen-Rindelbach, Baden-Württemberg",48.9879138,10.127076,2022-07-15,4,predicted
Rheinstetten,Baden-Württemberg,"Rheinstetten, Baden-Württemberg",48.9618109,8.292246,2022-07-15,4,predicted
Mühlacker,Baden-Württemberg,"Mühlacker, Baden-Württemberg",48.948938,8.8524245,2022-07-15,4,predicted
Sachsenheim,Baden-Württemberg,"Sachsenheim, Baden-Württemberg",48.9603579,9.0643208,2022-07-15,3,predicted
Pforzheim-Ispringen,Baden-Württemberg,"Pforzheim-Ispringen, Baden-Württemberg",48.9189539,8.6687552,2022-07-15,3,predicted
Kaisersbach-Cronhütte,Baden-Württemberg,"Kaisersbach-Cronhütte, Baden-Württemberg",48.9150639,9.6864635,2022-07-15,3,predicted
Stuttgart (Schnarrenberg),Baden-Württemberg,"Stuttgart (Schnarrenberg), Baden-Württemberg",48.828889,9.204167,2022-07-15,3,predicted
Schwäbisch Gmünd-Weiler,Baden-Württemberg,"Schwäbisch Gmünd-Weiler, Baden-Württemberg",48.7994019,9.8045704,2022-07-15,4,predicted
Renningen,Baden-Württemberg,"Renningen, Baden-Württemberg",48.7716629,8.9343957,2022-07-15,3,predicted
Baden-Baden-Geroldsau,Baden-Württemberg,"Baden-Baden-Geroldsau, Baden-Württemberg",48.7296066,8.2502357,2022-07-15,4,predicted
Stuttgart (Flughafen),Baden-Württemberg,"Stuttgart (Flughafen), Baden-Württemberg",48.687636500000004,9.205576,2022-07-15,4,predicted
Rheinau-Memprechtshofen,Baden-Württemberg,"Rheinau-Memprechtshofen, Baden-Württemberg",48.6809584,7.9873153,2022-07-15,4,predicted
Notzingen,Baden-Württemberg,"Notzingen, Baden-Württemberg",48.6707442,9.4572846,2022-07-15,4,predicted
Stötten,Baden-Württemberg,"Stötten, Baden-Württemberg",48.653402,9.861927,2022-07-15,3,predicted
Neubulach-Oberhaugstett,Baden-Württemberg,"Neubulach-Oberhaugstett, Baden-Württemberg",48.65491,8.6797324,2022-07-15,4,predicted
Hermaringen-Allewind,Baden-Württemberg,"Hermaringen-Allewind, Baden-Württemberg",48.5952246,10.2572841,2022-07-15,3,predicted
Metzingen,Baden-Württemberg,"Metzingen, Baden-Württemberg",48.5398997,9.2864061,2022-07-15,4,predicted
Merklingen,Baden-Württemberg,"Merklingen, Baden-Württemberg",48.5103542,9.7553839,2022-07-15,3,predicted
Freudenstadt,Baden-Württemberg,"Freudenstadt, Baden-Württemberg",48.4644796,8.4179988,2022-07-15,3,predicted
Ulm-Mähringen,Baden-Württemberg,"Ulm-Mähringen, Baden-Württemberg",48.4364249,9.937384,2022-07-15,3,predicted
Ohlsbach,Baden-Württemberg,"Ohlsbach, Baden-Württemberg",48.4315241,7.9936967,2022-07-15,3,predicted
Münsingen-Apfelstetten,Baden-Württemberg,"Münsingen-Apfelstetten, Baden-Württemberg",48.374567,9.487943,2022-07-15,3,predicted
Hechingen,Baden-Württemberg,"Hechingen, Baden-Württemberg",48.3538888,8.9613627,2022-07-15,3,predicted
Lahr,Baden-Württemberg,"Lahr, Baden-Württemberg",48.33915,7.8781487,2022-07-15,3,predicted
Wolfach,Baden-Württemberg,"Wolfach, Baden-Württemberg",48.2923644,8.2149156,2022-07-15,4,predicted
